,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_gl,mip_gl,mip_gl,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it
,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,0,0,0,4,4,4,4,5,5,5,5,4,4,4,5,5,5
,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time
10b_3s_3et_3nt_72t_755,0.01,0.05,0.01,0.07,0.02,0.05,0.0,0.07,0.01,0.05,0.01,0.07,0.03,0.02,0.05,0.03,0.02,0.05,0.04,0.02,0.07,0.04,0.04,0.08,,,,,,,,,,,,,,
10b_3s_3et_3nt_73t_154,0.01,0.05,0.01,0.07,0.01,0.05,0.01,0.06,0.01,0.15,0.01,0.18,0.03,0.02,0.05,0.04,0.04,0.07,0.05,0.05,0.1,0.07,0.05,0.12,,,,,,,,,,,,,,
10b_3s_3et_3nt_73t_162,0.01,0.05,0.0,0.06,0.01,0.05,0.01,0.07,0.01,0.05,0.01,0.07,0.04,0.04,0.08,0.05,0.06,0.1,0.07,0.08,0.15,0.08,0.09,0.17,,,,,,,,,,,,,,
10b_3s_3et_3nt_74t_208,0.01,0.06,0.01,0.08,0.01,0.06,0.01,0.09,0.02,0.19,0.01,0.22,0.04,0.05,0.09,0.06,0.08,0.14,0.08,0.09,0.17,0.07,0.1,0.17,,,,,,,,,,,,,,
10b_3s_3et_3nt_74t_35,0.05,0.08,0.02,0.15,0.02,0.09,0.01,0.12,0.02,0.23,0.01,0.26,0.03,0.02,0.05,0.04,0.03,0.07,0.05,0.05,0.1,0.07,0.14,0.2,,,,,,,,,,,,,,
10b_3s_3et_3nt_74t_486,0.02,0.06,0.01,0.09,0.01,0.05,0.01,0.07,0.01,0.05,0.01,0.07,0.03,0.03,0.06,0.04,0.03,0.07,0.05,0.06,0.11,0.06,0.15,0.22,,,,,,,,,,,,,,
10b_3s_3et_3nt_74t_589,0.01,0.06,0.01,0.08,0.01,0.05,0.01,0.07,0.01,0.15,0.01,0.18,0.02,0.02,0.04,0.03,0.02,0.05,0.04,0.03,0.07,0.04,0.04,0.08,,,,,,,,,,,,,,
10b_3s_3et_3nt_74t_674,0.01,0.05,0.01,0.07,0.01,0.06,0.01,0.07,0.01,0.05,0.02,0.08,0.03,0.04,0.07,0.04,0.05,0.09,0.06,0.06,0.12,0.06,0.07,0.13,,,,,,,,,,,,,,
10b_3s_3et_3nt_75t_532,0.03,0.05,0.01,0.09,0.01,0.06,0.01,0.07,0.01,0.05,0.01,0.07,0.02,0.03,0.05,0.04,0.03,0.07,0.05,0.04,0.09,0.05,0.08,0.13,,,,,,,,,,,,,,
10b_3s_3et_3nt_76t_419,0.01,0.06,0.0,0.07,0.01,0.05,0.01,0.07,0.01,0.06,0.01,0.08,0.04,0.04,0.08,0.05,0.06,0.11,0.07,0.08,0.14,0.06,0.07,0.14,,,,,,,,,,,,,,
10b_3s_5et_5nt_100t_604,0.01,0.19,0.01,0.21,0.01,0.18,0.01,0.2,0.02,0.25,0.01,0.27,0.07,0.09,0.15,0.1,0.12,0.23,0.1,0.14,0.24,0.16,1.98,2.14,0.01,0.25,0.01,0.28,0.01,0.32,0.02,0.35,0.12,0.2,0.32,0.15,0.23,0.38
10b_3s_5et_5nt_100t_673,0.01,0.18,0.01,0.21,0.01,0.19,0.03,0.23,0.02,0.25,0.01,0.27,0.05,0.05,0.1,0.06,0.06,0.12,0.07,0.08,0.15,0.11,2.47,2.59,0.02,0.28,0.02,0.31,0.01,0.3,0.01,0.33,0.11,0.09,0.2,0.11,0.1,0.21
10b_3s_5et_5nt_96t_500,0.01,0.13,0.01,0.16,0.01,0.16,0.01,0.18,0.01,0.2,0.02,0.23,0.05,0.05,0.1,0.06,0.06,0.12,0.08,0.07,0.15,0.11,0.11,0.22,0.01,0.22,0.02,0.25,0.01,0.27,0.01,0.29,0.11,0.09,0.2,0.11,0.1,0.2
10b_3s_5et_5nt_96t_536,0.02,0.13,0.01,0.15,0.02,0.14,0.01,0.16,0.02,0.19,0.01,0.22,0.07,0.08,0.14,0.1,0.09,0.19,0.1,0.12,0.22,0.16,0.19,0.36,0.01,0.17,0.02,0.21,0.02,0.21,0.03,0.26,0.12,0.15,0.27,0.14,0.19,0.34
10b_3s_5et_5nt_96t_574,0.01,0.14,0.01,0.16,0.01,0.13,0.01,0.16,0.01,0.18,0.02,0.21,0.06,0.07,0.13,0.07,0.09,0.16,0.09,0.1,0.19,0.13,5.41,5.54,0.01,0.19,0.02,0.22,0.01,0.23,0.02,0.26,0.11,0.12,0.23,0.14,0.15,0.29
10b_3s_5et_5nt_97t_319,0.02,0.15,0.0,0.17,0.01,0.16,0.0,0.17,0.01,0.2,0.0,0.21,0.06,0.06,0.12,0.07,0.08,0.15,0.09,0.12,0.21,0.13,0.16,0.29,0.01,0.19,0.01,0.21,0.01,0.24,0.0,0.26,0.13,0.12,0.24,0.12,0.14,0.26
10b_3s_5et_5nt_97t_824,0.02,0.14,0.01,0.17,0.01,0.15,0.01,0.17,0.02,0.18,0.01,0.21,0.06,0.06,0.12,0.07,0.08,0.15,0.09,0.1,0.19,0.12,0.16,0.28,0.04,0.18,0.01,0.23,0.01,0.24,0.01,0.26,0.11,0.14,0.24,0.15,0.17,0.32
10b_3s_5et_5nt_97t_930,0.02,0.16,0.01,0.18,0.01,0.15,0.01,0.17,0.01,0.2,0.01,0.22,0.06,0.08,0.15,0.1,0.12,0.22,0.1,0.12,0.22,0.16,1.57,1.74,0.02,0.19,0.02,0.23,0.02,0.26,0.02,0.29,0.12,0.17,0.29,0.15,0.23,0.38
10b_3s_5et_5nt_98t_64,0.02,0.16,0.0,0.18,0.02,0.16,0.03,0.21,0.02,0.2,0.01,0.23,0.05,0.05,0.1,0.06,0.06,0.12,0.08,0.08,0.15,0.11,5.23,5.34,0.01,0.24,0.02,0.27,0.01,0.26,0.01,0.28,0.11,0.09,0.2,0.11,0.1,0.21
10b_3s_5et_5nt_99t_955,0.02,0.17,0.0,0.19,0.01,0.17,0.0,0.19,0.02,0.22,0.01,0.25,0.05,0.05,0.1,0.06,0.06,0.12,0.1,0.07,0.17,0.11,0.52,0.64,0.02,0.22,0.02,0.25,0.02,0.29,0.01,0.32,0.09,0.1,0.19,0.11,0.11,0.22
