,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_gl,mip_gl,mip_gl,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it
30b_3s_5et_5nt_135t_414,0.04,0.51,0.06,0.61,0.06,1.09,0.14,1.29,0.04,1.08,0.07,1.19,0.11,0.07,0.19,0.13,0.11,0.24,0.14,0.11,0.25,0.2,28.93,29.13,0.04,1.16,0.07,1.27,0.04,1.35,0.07,1.46,0.17,0.13,0.3,0.23,0.14,0.36,,,,,,,,,,,,,,
30b_3s_5et_5nt_138t_931,0.07,0.58,0.03,0.68,0.04,1.28,0.06,1.38,0.04,1.3,0.07,1.42,0.09,0.08,0.18,0.12,0.11,0.23,0.14,0.11,0.26,0.23,26.09,26.32,0.04,1.41,0.1,1.56,0.06,1.73,0.05,1.84,0.19,0.12,0.31,0.21,0.14,0.35,,,,,,,,,,,,,,
30b_3s_5et_5nt_144t_369,0.04,0.66,0.03,0.74,0.04,1.61,0.1,1.76,0.04,1.65,0.1,1.8,0.1,0.14,0.25,0.15,0.13,0.28,0.16,0.19,0.35,0.23,230.46,230.69,0.06,1.74,0.1,1.9,0.05,1.76,0.04,1.85,0.19,0.29,0.48,0.25,0.36,0.61,,,,,,,,,,,,,,
30b_5s_5et_5nt_144t_807,0.06,0.68,0.04,0.77,0.07,1.43,0.08,1.58,0.05,1.42,0.07,1.54,0.14,0.14,0.29,0.18,0.2,0.38,0.24,0.24,0.49,0.32,6.86,7.18,0.08,1.41,0.1,1.59,0.05,1.59,0.1,1.74,0.27,0.32,0.59,0.34,0.37,0.71,,,,,,,,,,,,,,
30b_5s_5et_5nt_145t_282,0.07,0.7,0.04,0.81,0.05,0.7,0.08,0.83,0.09,0.77,0.06,0.92,0.18,0.23,0.41,0.2,0.28,0.49,0.25,0.37,0.62,0.37,5.38,5.75,0.05,0.74,0.08,0.86,0.05,2.55,0.1,2.71,0.32,0.42,0.74,0.34,0.51,0.85,,,,,,,,,,,,,,
30b_5s_5et_5nt_145t_952,0.05,0.69,0.04,0.79,0.07,0.71,0.08,0.86,0.06,0.79,0.06,0.91,0.15,0.13,0.27,0.18,0.17,0.36,0.25,0.21,0.46,0.32,3.47,3.79,0.06,0.76,0.08,0.91,0.07,2.54,0.07,2.69,0.27,0.25,0.52,0.34,0.28,0.62,,,,,,,,,,,,,,
30b_5s_5et_5nt_147t_178,0.08,0.8,0.09,0.97,0.06,0.8,0.16,1.02,0.05,0.74,0.13,0.93,0.16,0.15,0.31,0.22,0.31,0.53,0.25,0.36,0.61,0.37,5.42,5.79,0.07,0.74,0.15,0.96,0.05,2.72,0.15,2.92,0.32,0.43,0.75,0.35,0.63,0.98,,,,,,,,,,,,,,
30b_5s_5et_5nt_147t_268,0.06,0.76,0.05,0.87,0.07,0.79,0.1,0.96,0.06,0.81,0.06,0.94,0.13,0.14,0.27,0.17,0.17,0.34,0.22,0.23,0.45,0.3,9.8,10.09,0.06,0.81,0.08,0.95,0.07,2.78,0.1,2.95,0.25,0.29,0.54,0.31,0.48,0.79,,,,,,,,,,,,,,
30b_5s_5et_5nt_150t_248,0.08,0.81,0.1,0.98,0.06,0.87,0.15,1.07,0.06,0.92,0.14,1.11,0.16,0.16,0.32,0.2,0.19,0.39,0.24,0.24,0.48,0.35,10.12,10.46,0.08,0.99,0.17,1.24,0.06,3.37,0.14,3.57,0.28,0.27,0.55,0.35,0.35,0.7,,,,,,,,,,,,,,
30b_5s_5et_5nt_150t_757,0.06,0.89,0.04,0.99,0.06,1.0,0.06,1.12,0.08,0.93,0.06,1.07,0.19,0.21,0.4,0.21,0.26,0.46,0.28,0.31,0.59,0.34,5.65,6.0,0.06,0.93,0.06,1.05,0.06,3.35,0.08,3.49,0.31,0.41,0.72,0.37,0.52,0.89,,,,,,,,,,,,,,
30b_5s_5et_5nt_150t_860,0.08,0.82,0.06,0.96,0.06,0.92,0.08,1.05,0.06,2.17,0.14,2.37,0.16,0.19,0.35,0.22,0.26,0.49,0.25,0.37,0.62,0.37,118.02,118.39,0.08,2.4,0.13,2.61,0.05,1.74,0.08,1.87,0.32,0.47,0.79,0.35,0.5,0.85,,,,,,,,,,,,,,
30b_5s_5et_5nt_151t_483,0.06,0.87,0.12,1.05,0.06,1.02,0.16,1.23,0.08,0.92,0.13,1.12,0.16,0.25,0.41,0.2,0.21,0.41,0.27,0.28,0.56,0.35,7.33,7.68,0.06,0.91,0.15,1.12,0.08,3.22,0.15,3.45,0.29,0.33,0.62,0.37,0.42,0.79,,,,,,,,,,,,,,
30b_5s_5et_5nt_151t_856,0.08,0.89,0.07,1.04,0.06,0.99,0.1,1.15,0.06,0.91,0.08,1.05,0.15,0.14,0.29,0.2,0.22,0.42,0.23,0.26,0.49,0.35,10.55,10.9,0.08,0.9,0.11,1.08,0.06,3.23,0.17,3.45,0.29,0.36,0.65,0.32,0.5,0.82,,,,,,,,,,,,,,
30b_7s_7et_7nt_178t_265,0.08,2.17,0.08,2.32,0.1,2.1,0.13,2.33,0.08,2.76,0.1,2.93,0.39,0.44,0.82,0.42,1.24,1.66,0.52,1.62,2.14,0.88,117.52,118.41,0.1,2.67,0.16,2.93,0.08,3.37,0.13,3.57,0.6,0.86,1.46,0.69,1.21,1.89,0.1,3.39,0.14,3.63,0.08,4.22,0.21,4.51,0.77,1.11,1.88,0.86,3.34,4.2
30b_7s_7et_7nt_182t_143,0.08,2.52,0.12,2.72,0.1,2.45,0.2,2.76,0.08,3.1,0.19,3.37,0.33,0.39,0.71,0.36,0.45,0.81,0.44,0.61,1.06,0.74,55.93,56.66,0.1,3.22,0.23,3.55,0.08,3.73,0.22,4.02,0.52,1.51,2.02,0.59,0.83,1.42,0.1,3.75,0.24,4.09,0.07,4.71,0.25,5.03,0.66,1.91,2.57,0.74,2.37,3.11
30b_7s_7et_7nt_182t_35,0.1,2.5,0.07,2.67,0.08,2.44,0.12,2.64,0.1,3.2,0.11,3.42,0.39,1.26,1.65,0.49,1.48,1.97,0.57,0.84,1.41,0.92,50.06,50.98,0.08,3.23,0.18,3.49,0.1,3.94,0.15,4.19,0.65,2.39,3.05,0.74,2.31,3.05,0.08,3.99,0.19,4.25,0.1,4.73,0.24,5.07,0.83,2.82,3.65,0.94,4.22,5.16
30b_7s_7et_7nt_183t_364,0.1,2.64,0.14,2.87,0.08,2.48,0.14,2.7,0.09,3.11,0.13,3.33,0.33,0.45,0.78,0.42,0.54,0.96,0.48,0.64,1.12,0.79,34.38,35.17,0.08,3.23,0.18,3.48,0.1,3.72,0.15,3.97,0.56,0.77,1.33,0.61,0.84,1.45,0.08,3.8,0.18,4.05,0.1,4.76,0.24,5.09,0.73,2.26,2.99,0.81,2.85,3.66
30b_7s_7et_7nt_183t_900,0.1,2.54,0.12,2.77,0.07,2.49,0.18,2.75,0.1,3.1,0.21,3.4,0.28,0.3,0.59,0.36,0.38,0.73,0.39,0.39,0.78,0.68,23.73,24.41,0.08,3.17,0.25,3.5,0.1,3.76,0.27,4.13,0.48,0.47,0.95,0.54,0.62,1.15,0.08,3.77,0.29,4.13,0.08,4.62,0.32,5.01,0.62,0.8,1.41,0.68,0.86,1.55
30b_7s_7et_7nt_186t_961,0.1,2.83,0.08,3.02,0.08,2.76,0.14,2.98,0.11,3.49,0.11,3.7,0.28,0.32,0.6,0.35,0.43,0.78,0.39,0.49,0.88,0.68,inf,300.79,0.08,3.63,0.19,3.9,0.1,4.27,0.15,4.53,0.48,0.58,1.06,0.54,0.94,1.48,0.08,4.31,0.17,4.55,0.1,5.36,0.24,5.71,0.61,0.76,1.37,0.68,0.85,1.53
30b_7s_7et_7nt_187t_493,0.11,3.01,0.13,3.24,0.08,2.96,0.24,3.27,0.1,3.68,0.17,3.95,0.36,0.77,1.13,0.45,0.97,1.41,0.52,1.51,2.03,0.87,inf,301.19,0.07,3.94,0.29,4.3,0.1,4.55,0.22,4.87,0.6,1.62,2.22,0.68,0.91,1.59,0.08,4.54,0.27,4.88,0.1,5.87,0.31,6.27,0.75,2.45,3.21,0.85,2.9,3.75
30b_7s_7et_7nt_188t_216,0.08,3.05,0.09,3.22,0.11,3.02,0.15,3.27,0.08,3.69,0.12,3.88,0.38,0.67,1.05,0.43,0.85,1.28,0.51,1.27,1.78,0.85,inf,300.91,0.11,3.96,0.2,4.27,0.08,4.74,0.14,4.97,0.6,1.7,2.3,0.67,1.61,2.28,0.1,4.77,0.17,5.04,0.08,5.7,0.27,6.05,0.76,2.04,2.8,0.88,2.42,3.29
30b_7s_7et_7nt_188t_462,0.08,2.99,0.22,3.3,0.1,3.06,0.21,3.37,0.08,3.72,0.1,3.9,0.28,0.27,0.55,0.31,0.28,0.59,0.38,0.45,0.83,0.66,21.94,22.6,0.1,3.92,0.22,4.24,0.08,4.58,0.1,4.76,0.45,0.45,0.89,0.48,0.51,1.0,0.1,4.7,0.1,4.91,0.08,5.76,0.25,6.08,0.57,0.5,1.06,0.64,0.62,1.26
30b_7s_7et_7nt_189t_171,0.08,3.14,0.09,3.31,0.1,3.07,0.14,3.31,0.08,3.89,0.12,4.08,0.38,0.45,0.83,0.43,0.71,1.14,0.52,0.77,1.29,0.86,143.09,143.95,0.11,4.01,0.18,4.31,0.08,4.81,0.16,5.04,0.59,0.97,1.57,0.68,2.13,2.8,0.1,5.31,0.38,5.79,0.16,6.08,0.25,6.5,0.76,1.1,1.86,0.86,1.32,2.17
