,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_gl,mip_gl,mip_gl,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,ten_it,mip_it,mip_it,mip_it,mip_it,mip_it,mip_it
,1,1,1,1,2,2,2,2,3,3,3,3,1,1,1,2,2,2,3,3,3,0,0,0,4,4,4,4,5,5,5,5,4,4,4,5,5,5,6,6,6,6,7,7,7,7,6,6,6,7,7,7
,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,ten_creation_time,ten_edge_deletion_time,ten_pathfinding_time,ten_execution_time,mip_creation_time,mip_solving_time,mip_execution_time,mip_creation_time,mip_solving_time,mip_execution_time
30b_3s_3et_3nt_104t_140,0.03,0.18,0.02,0.22,0.03,0.18,0.04,0.24,0.03,0.56,0.02,0.62,0.07,0.05,0.12,0.07,0.05,0.12,0.1,0.08,0.18,0.12,0.27,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_104t_989,0.03,0.22,0.02,0.28,0.04,0.21,0.04,0.28,0.05,0.56,0.03,0.64,0.05,0.03,0.08,0.07,0.04,0.11,0.1,0.06,0.15,0.09,0.18,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_105t_61,0.05,0.18,0.02,0.26,0.03,0.2,0.02,0.26,0.03,0.61,0.04,0.68,0.06,0.06,0.12,0.09,0.09,0.18,0.17,0.12,0.29,0.12,0.25,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_105t_676,0.03,0.18,0.03,0.24,0.04,0.18,0.04,0.26,0.03,0.6,0.04,0.67,0.08,0.05,0.13,0.08,0.07,0.15,0.12,0.11,0.23,0.12,0.3,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_109t_531,0.03,0.21,0.04,0.28,0.05,0.22,0.05,0.32,0.03,0.71,0.06,0.8,0.06,0.05,0.11,0.1,0.07,0.17,0.12,0.09,0.21,0.11,0.26,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_109t_934,0.03,0.22,0.02,0.27,0.06,0.21,0.03,0.3,0.03,0.73,0.05,0.81,0.07,0.08,0.15,0.12,0.1,0.22,0.15,0.12,0.27,0.13,0.46,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_110t_109,0.06,0.22,0.02,0.3,0.03,0.22,0.04,0.29,0.04,0.75,0.06,0.84,0.06,0.08,0.14,0.1,0.08,0.19,0.13,0.12,0.24,0.14,0.35,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_110t_151,0.04,0.22,0.03,0.28,0.03,0.22,0.04,0.29,0.03,0.76,0.06,0.85,0.06,0.06,0.12,0.1,0.08,0.18,0.12,0.11,0.23,0.12,0.51,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_110t_199,0.04,0.22,0.02,0.28,0.04,0.24,0.02,0.29,0.03,0.78,0.04,0.85,0.08,0.09,0.17,0.1,0.08,0.19,0.12,0.12,0.24,0.11,0.73,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_3et_3nt_115t_24,0.04,0.26,0.02,0.32,0.06,0.26,0.02,0.34,0.04,0.98,0.05,1.06,0.07,0.07,0.14,0.1,0.08,0.18,0.12,0.11,0.22,0.14,0.34,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30b_3s_5et_5nt_128t_45,0.04,0.38,0.02,0.45,0.04,0.7,0.04,0.79,0.04,0.84,0.04,0.92,0.12,0.13,0.25,0.16,0.18,0.34,0.21,0.25,0.46,0.28,3.48,3.76,0.06,0.74,0.07,0.87,0.04,0.95,0.06,1.05,0.24,0.34,0.58,0.3,0.38,0.68,,,,,,,,,,,,,,
30b_3s_5et_5nt_128t_456,0.04,0.38,0.04,0.46,0.06,0.71,0.08,0.85,0.04,0.85,0.08,0.97,0.12,0.09,0.22,0.13,0.12,0.26,0.16,0.14,0.3,0.23,4.48,4.7,0.04,0.76,0.12,0.92,0.04,0.93,0.1,1.07,0.21,0.16,0.37,0.23,0.2,0.43,,,,,,,,,,,,,,
30b_3s_5et_5nt_130t_674,0.06,0.41,0.02,0.5,0.04,0.88,0.09,1.01,0.05,1.0,0.04,1.09,0.1,0.08,0.19,0.13,0.11,0.24,0.18,0.15,0.33,0.25,17.59,17.84,0.06,0.96,0.06,1.08,0.04,0.97,0.03,1.04,0.19,0.16,0.35,0.23,0.19,0.42,,,,,,,,,,,,,,
30b_3s_5et_5nt_130t_898,0.04,0.4,0.03,0.47,0.04,0.85,0.06,0.95,0.06,1.0,0.06,1.12,0.11,0.13,0.24,0.16,0.17,0.33,0.18,0.23,0.4,0.25,31.75,32.0,0.04,0.93,0.09,1.07,0.04,1.03,0.07,1.15,0.21,0.25,0.46,0.27,0.32,0.59,,,,,,,,,,,,,,
30b_3s_5et_5nt_132t_587,0.06,0.46,0.06,0.58,0.04,0.89,0.14,1.07,0.05,0.95,0.07,1.08,0.11,0.09,0.2,0.12,0.11,0.23,0.14,0.14,0.29,0.21,15.26,15.47,0.04,0.92,0.09,1.05,0.04,1.05,0.07,1.17,0.17,0.15,0.32,0.22,0.18,0.4,,,,,,,,,,,,,,
30b_3s_5et_5nt_133t_364,0.05,0.48,0.02,0.55,0.06,0.95,0.07,1.08,0.05,1.06,0.05,1.16,0.14,0.12,0.25,0.14,0.33,0.48,0.18,0.2,0.38,0.28,12.41,12.68,0.04,1.03,0.06,1.13,0.04,1.21,0.05,1.29,0.23,0.28,0.51,0.25,0.38,0.63,,,,,,,,,,,,,,
30b_3s_5et_5nt_135t_130,0.04,0.5,0.03,0.57,0.04,1.12,0.06,1.22,0.08,1.17,0.04,1.29,0.09,0.08,0.18,0.14,0.1,0.24,0.14,0.13,0.28,0.21,106.08,106.29,0.04,1.18,0.05,1.28,0.04,1.27,0.03,1.35,0.17,0.17,0.34,0.23,0.22,0.45,,,,,,,,,,,,,,
